xmin,xmax,y,dy
5.000,6.240,6.5756e-05,1.5104e-05
6.240,7.470,1.7510e-05,3.4911e-06
7.470,8.710,7.7156e-06,1.0130e-06
8.710,9.940,3.5188e-06,3.9160e-07
9.940,11.180,1.8004e-06,1.9756e-07
11.180,12.410,7.7189e-07,8.5755e-08
12.410,13.650,4.6582e-07,4.6308e-08
13.650,14.880,3.0424e-07,3.2699e-08
14.880,16.120,2.0415e-07,2.4602e-08
16.120,17.350,1.0484e-07,1.1215e-08
17.350,18.590,7.5739e-08,1.2001e-08
18.590,19.820,4.3209e-08,4.9096e-09
19.820,21.060,2.7788e-08,3.4285e-09
21.060,22.290,2.0184e-08,2.1163e-09
22.290,23.530,1.3798e-08,1.6954e-09
23.530,24.760,7.9512e-09,9.3533e-10
24.760,26.000,9.8567e-09,2.6888e-09
